id	filename	title	category	source_url	publisher	safety_note	rights_note
ag-soil-sare	building-soils-for-better-crops.pdf	Building Soils for Better Crops, Fourth Edition	Agriculture-Soil	https://www.sare.org/publications/bsbc/bsbc.pdf	USDA SARE	Base amendments on a local soil test; excess nutrients and contaminated amendments can damage soil and water.	Freely distributed by SARE; retain attribution and source metadata.
ag-soil-nrcs	soil-quality-test-kit-guide.pdf	Soil Quality Test Kit Guide	Agriculture-Soil	https://www.nrcs.usda.gov/sites/default/files/2022-10/Soil%20Quality%20Test%20Kit%20Guide.pdf	USDA NRCS	Field tests are screening tools and do not replace a certified laboratory for contaminants or legal determinations.	U.S. federal government publication.
ag-seed-saving	seed-saving-guide.pdf	A Seed Saving Guide for Gardeners and Farmers	Agriculture-Seeds	https://seedalliance.org/wp-content/uploads/2010/04/seed_saving_guide.pdf	Organic Seed Alliance	Keep seed dry, cool, labeled, and isolated as required; seed-borne disease and cross-pollination can compromise a crop.	Personal offline reference; review publisher terms before redistribution.
ag-vegetable-cornell	cornell-commercial-vegetable-ipm-preview-2024.pdf	Cornell Integrated Crop and Pest Management Guidelines for Commercial Vegetable Production - 2024 Preview	Agriculture-Vegetables	https://cropandpestguides.cce.cornell.edu/Preview/2024/2024_Vegetable_Preview.pdf	Cornell Cooperative Extension	Pesticide registrations and labels change; the current label and current New York law always control.	Cornell preview publication; personal offline reference, licensing review required before redistribution.
ag-crop-rotation	crop-rotation-on-organic-farms.pdf	Crop Rotation on Organic Farms: A Planning Manual	Agriculture-Vegetables	https://www.sare.org/wp-content/uploads/Crop-Rotation-on-Organic-Farms.pdf	USDA SARE	Adapt rotations to local soil, climate, disease history, labor, and market constraints.	Freely distributed by SARE; retain attribution and source metadata.
ag-field-crops-cornell	cornell-field-crop-management-2023-preview.pdf	Cornell Guide for Integrated Field Crop Management - 2023 Preview	Agriculture-Staples	https://cropandpestguides.cce.cornell.edu/Preview/2023/2023_Field_Crops_Preview.pdf	Cornell Cooperative Extension	Varieties, inputs, pesticide registrations, and labels change; verify current local guidance.	Cornell preview publication; personal offline reference, licensing review required before redistribution.
ag-orchards-usda	transitioning-organic-orchards.pdf	Transitioning to Organic Management of Orchards	Agriculture-Orchards	https://www.ams.usda.gov/sites/default/files/media/Transitioning%20to%20Organic%20Management%20of%20Orchards_FINAL.pdf	USDA Agricultural Marketing Service	Certification and pesticide requirements change; consult the current certifier and product label.	U.S. federal government publication.
ag-black-walnut-usfs	growing-black-walnut-for-nut-production.pdf	Growing Black Walnut for Nut Production	Agriculture-Orchards	https://research.fs.usda.gov/download/treesearch/44215.pdf	USDA Forest Service	Regional cultivar, disease, site, and pollination conditions control orchard success.	U.S. federal government publication.
ag-irrigation-nrcs	nrcs-national-irrigation-guide.pdf	National Engineering Handbook Part 652 - Irrigation Guide	Agriculture-Water	https://directives.nrcs.usda.gov/sites/default/files2/1720464454/Part%20652%20-%20Irrigation%20Guide.pdf	USDA NRCS	Wells, impoundments, pumps, electrical work, and water rights require qualified design and current local approval.	U.S. federal government publication.
ag-rainwater-twdb	rainwater-harvesting-manual-third-edition.pdf	Texas Manual on Rainwater Harvesting, Third Edition	Agriculture-Water	https://www.twdb.texas.gov/innovativewater/rainwater/doc/RainwaterHarvestingManual_3rdedition.pdf	Texas Water Development Board	Collected water is not automatically potable; treatment, cross-connection control, and current local code govern.	Public agency publication; retain attribution and review terms before redistribution.
ag-high-tunnels-sare	high-tunnels-season-extension.pdf	High Tunnels and Other Season Extension Techniques	Agriculture-Greenhouse	https://www.sare.org/wp-content/uploads/High-Tunnels-and-Other-Season-Extension-Techniques.pdf	USDA SARE	Structures must be designed for local wind, snow, anchoring, fire, ventilation, and electrical hazards.	Freely distributed by SARE; retain attribution and source metadata.
ag-hydroponics-usda	usda-hydroponic-aquaponic-task-force-report-2016.pdf	Hydroponic and Aquaponic Task Force Report	Agriculture-Greenhouse	https://www.ams.usda.gov/sites/default/files/media/2016%20Hydroponic%20Task%20Force%20Report.PDF	USDA Agricultural Marketing Service	This policy report is not a nutrient recipe or food-safety plan; verify current production and certification rules.	U.S. federal government publication.
ag-greenhouse-ipm-cornell	cornell-greenhouse-ipm-preview-2024-2025.pdf	Cornell Greenhouse Crops and Herbaceous Ornamentals IPM Guidelines - 2024-2025 Preview	Agriculture-IPM	https://cropandpestguides.cce.cornell.edu/Preview/2024/2024-25_GH_HO_Preview.pdf	Cornell Cooperative Extension	The current pesticide label, registration, worker protection standard, and New York law always control.	Cornell preview publication; personal offline reference, licensing review required before redistribution.
