id	filename	title	category	source_url	publisher	safety_note
neets-01-dc	neets-01-matter-energy-dc.pdf	NEETS 01 - Matter, Energy, and Direct Current	Electronics-Basics	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_01.pdf	U.S. Navy / public-release mirror	Training reference; isolate power and verify absence of voltage before touching conductors.
neets-02-ac	neets-02-ac-transformers.pdf	NEETS 02 - Alternating Current and Transformers	Electronics-Basics	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_02.pdf	U.S. Navy / public-release mirror	Training reference; mains and stored energy can kill.
neets-03-protection	neets-03-circuit-protection-control-measurement.pdf	NEETS 03 - Circuit Protection, Control, and Measurement	Electronics-Basics	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_03.pdf	U.S. Navy / public-release mirror	Use correctly rated protection and test equipment.
neets-04-wiring	neets-04-conductors-wiring-schematics.pdf	NEETS 04 - Conductors, Wiring, and Schematic Reading	Electronics-Basics	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_04.pdf	U.S. Navy / public-release mirror	De-energize, lock out, verify, and follow current wiring codes.
neets-05-motors	neets-05-generators-motors.pdf	NEETS 05 - Generators and Motors	Electronics-Basics	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_05.pdf	U.S. Navy / public-release mirror	Rotating machinery and generated voltage require guards and isolation.
neets-06-emission	neets-06-emission-tubes-power-supplies.pdf	NEETS 06 - Electronic Emission, Tubes, and Power Supplies	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_06.pdf	U.S. Navy / public-release mirror	High-voltage power supplies and charged capacitors can remain lethal after shutdown.
neets-07-solid-state	neets-07-solid-state-power-supplies.pdf	NEETS 07 - Solid-State Devices and Power Supplies	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_07.pdf	U.S. Navy / public-release mirror	Observe ESD, polarity, thermal, and stored-energy precautions.
neets-08-amplifiers	neets-08-amplifiers.pdf	NEETS 08 - Amplifiers	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_08.pdf	U.S. Navy / public-release mirror	Verify supply rails and discharge capacitors before service.
neets-09-waveforms	neets-09-wave-generation-shaping.pdf	NEETS 09 - Wave Generation and Wave Shaping	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_09.pdf	U.S. Navy / public-release mirror	Use rated probes and observe instrument ground limits.
neets-10-propagation	neets-10-propagation-lines-antennas.pdf	NEETS 10 - Propagation, Transmission Lines, and Antennas	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_10.pdf	U.S. Navy / public-release mirror	RF exposure, lightning, and tower work require current controls and trained personnel.
neets-11-microwave	neets-11-microwave-principles.pdf	NEETS 11 - Microwave Principles	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_11.pdf	U.S. Navy / public-release mirror	Do not defeat RF interlocks; high voltage and microwave exposure can injure or kill.
neets-12-modulation	neets-12-modulation-principles.pdf	NEETS 12 - Modulation Principles	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_12.pdf	U.S. Navy / public-release mirror	Theory reference; transmit only where licensed and lawful.
neets-13-logic	neets-13-number-systems-logic.pdf	NEETS 13 - Number Systems and Logic Circuits	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_13.pdf	U.S. Navy / public-release mirror	Verify voltage families and ESD controls before connecting logic devices.
neets-14-microelectronics	neets-14-microelectronics.pdf	NEETS 14 - Microelectronics	Electronics-Intermediate	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_14.pdf	U.S. Navy / public-release mirror	Use ventilation and appropriate controls for solder, flux, solvents, and ESD.
