id	title	author	category	mode	query	note
marcus-aurelius-meditations	Meditations	Marcus Aurelius	Philosophy-Ethics-Good-Life	gutenberg	Meditations Marcus Aurelius	Stoic practice, duty, mortality, and resilience.
epictetus-enchiridion	The Enchiridion	Epictetus	Philosophy-Ethics-Good-Life	gutenberg	Enchiridion Epictetus	Stoic discipline and control.
epictetus-discourses	The Discourses	Epictetus	Philosophy-Ethics-Good-Life	gutenberg	Discourses Epictetus	Stoic ethics in extended teaching form.
seneca-moral-letters	Moral Letters to Lucilius	Seneca	Philosophy-Ethics-Good-Life	gutenberg	Moral letters Seneca Lucilius	Stoic counsel on character and adversity.
aristotle-nicomachean-ethics	Nicomachean Ethics	Aristotle	Philosophy-Ethics-Good-Life	gutenberg	Nicomachean Ethics Aristotle	Virtue, practical wisdom, and flourishing.
epicurus-principal-doctrines	Principal Doctrines	Epicurus	Philosophy-Ethics-Good-Life	gutenberg	Principal Doctrines Epicurus	Epicurean maxims on fear, desire, and friendship.
epicurus-letter-menoeceus	Letter to Menoeceus	Epicurus	Philosophy-Ethics-Good-Life	gutenberg	Letter to Menoeceus Epicurus	Epicurean ethics in compact form.
cicero-on-duties	On Duties	Cicero	Philosophy-Ethics-Good-Life	gutenberg	On Duties Cicero	Public duty, virtue, and honorable conduct.
plutarch-moralia	Moralia	Plutarch	Philosophy-Ethics-Good-Life	gutenberg	Plutarch Morals Moralia	Ethical essays and practical philosophy.
boethius-consolation	The Consolation of Philosophy	Boethius	Philosophy-Ethics-Good-Life	gutenberg	Consolation of Philosophy Boethius	Fortune, suffering, freedom, and providence.
mill-utilitarianism	Utilitarianism	John Stuart Mill	Philosophy-Ethics-Good-Life	gutenberg	Utilitarianism John Stuart Mill	Consequentialist ethics and human welfare.
sidgwick-methods-ethics	The Methods of Ethics	Henry Sidgwick	Philosophy-Ethics-Good-Life	gutenberg	Methods of Ethics Sidgwick	Systematic comparison of ethical methods.
plato-republic	The Republic	Plato	Philosophy-Government-Power	gutenberg	Republic Plato Jowett	Justice, education, authority, and political order.
plato-laws	Laws	Plato	Philosophy-Government-Power	gutenberg	Laws Plato Jowett	Lawgiving and institutional design.
plato-statesman	Statesman	Plato	Philosophy-Government-Power	gutenberg	Statesman Plato Jowett	The nature and knowledge of political rule.
aristotle-politics	Politics	Aristotle	Philosophy-Government-Power	gutenberg	Politics Aristotle Jowett	Constitutions, citizenship, and political life.
aristotle-athenian-constitution	The Athenian Constitution	Aristotle	Philosophy-Government-Power	gutenberg	Athenian Constitution Aristotle	Institutional history of Athens.
more-utopia	Utopia	Thomas More	Philosophy-Government-Power	gutenberg	Utopia Thomas More	Ideal society and political criticism.
machiavelli-prince	The Prince	Niccolo Machiavelli	Philosophy-Government-Power	gutenberg	Prince Machiavelli	Power, statecraft, necessity, and reputation.
machiavelli-discourses	Discourses on Livy	Niccolo Machiavelli	Philosophy-Government-Power	gutenberg	Discourses on Livy Machiavelli	Republican government and political conflict.
hobbes-leviathan	Leviathan	Thomas Hobbes	Philosophy-Government-Power	gutenberg	Leviathan Hobbes	Sovereignty, consent, fear, and civil order.
locke-two-treatises	Two Treatises of Government	John Locke	Philosophy-Government-Power	gutenberg	Two Treatises of Government Locke	Natural rights, property, and legitimate authority.
montesquieu-spirit-laws	The Spirit of Laws	Montesquieu	Philosophy-Government-Power	gutenberg	Spirit of Laws Montesquieu	Institutions, climate, liberty, and separation of powers.
rousseau-social-contract	The Social Contract	Jean-Jacques Rousseau	Philosophy-Government-Power	gutenberg	Social Contract Rousseau	Popular sovereignty and political legitimacy.
rousseau-inequality	Discourse on Inequality	Jean-Jacques Rousseau	Philosophy-Government-Power	gutenberg	Discourse Inequality Rousseau	Origins of inequality and social dependence.
burke-reflections	Reflections on the Revolution in France	Edmund Burke	Philosophy-Government-Power	gutenberg	Reflections Revolution France Burke	Tradition, reform, and revolutionary change.
paine-common-sense	Common Sense	Thomas Paine	Philosophy-Government-Power	gutenberg	Common Sense Thomas Paine	Independence and republican argument.
paine-rights-man	Rights of Man	Thomas Paine	Philosophy-Government-Power	gutenberg	Rights of Man Thomas Paine	Rights, representation, and revolution.
tocqueville-democracy-america	Democracy in America	Alexis de Tocqueville	Philosophy-Government-Power	gutenberg	Democracy in America Tocqueville	Democratic culture, institutions, and majority power.
mill-on-liberty	On Liberty	John Stuart Mill	Philosophy-Government-Power	gutenberg	On Liberty John Stuart Mill	Individual liberty and limits of social authority.
mill-representative-government	Considerations on Representative Government	John Stuart Mill	Philosophy-Government-Power	gutenberg	Representative Government John Stuart Mill	Institutional representation and civic competence.
