collection	classification	visibility	conversion	path
Dragnet Nation	Privacy / Surveillance / Civil Liberties	standard	original-pdf	Privacy & Surveillance/Dragnet Nation - Julia Angwin.pdf
Means of Control	Privacy / Surveillance / Government-Technology Systems	standard	original-pdf	Privacy & Surveillance/Means of Control - Byron Tau.pdf
Obfuscation	Privacy / Surveillance / Protest and Defense	standard	original-pdf	Privacy & Surveillance/Obfuscation - Finn Brunton and Helen Nissenbaum.pdf
The Art of Invisibility	Privacy / Surveillance / Personal Defense	standard	original-pdf	Privacy & Surveillance/The Art of Invisibility - Kevin Mitnick.pdf
Necronomicon: The Best Weird Tales	Fiction / Occult Literature	standard	converted-pdf-plus-epub	Fiction & Occult/H.P. Lovecraft/Necronomicon - The Best Weird Tales.epub
Tales of H. P. Lovecraft	Fiction / Occult Literature	standard	converted-pdf-plus-epub	Fiction & Occult/H.P. Lovecraft/Tales of H.P. Lovecraft.epub
The Complete Poetry of H. P. Lovecraft	Fiction / Occult Literature	standard	converted-pdf-plus-epub	Fiction & Occult/H.P. Lovecraft/The Complete Poetry of H.P. Lovecraft.epub
The Cannabis Grow Bible	Agriculture / Controlled Crops Archive	hidden-archive	converted-pdf-plus-epub	Archives/Agriculture/The Cannabis Grow Bible - Greg Green.epub
Opium for the Masses	Agriculture / Controlled Crops Archive	hidden-archive	original-pdf	Archives/Agriculture/Opium for the Masses - Jim Hogshire.pdf
Occult legacy collection	Occult Spirituality / Ceremonial Magic	legacy-source	mixed	Occult/
Crowley author collection	Occult Spirituality / Thelema / Esoteric Literature	legacy-source	original-pdf	Crowley/Occult/
Chaos Magick collection	Occult Spirituality / Chaos Magick	legacy-source	mixed	Chaos Magick/
Dark Tetrad collection	Psychology / Personality / Behavioral Risk	legacy-source	mixed	Dark Tetrad/
Memory collection	Memory / Cognition / Mixed Legacy	legacy-source	mixed	Memory/
