id	title	category	era	access_status	diagram_kind	diagram_label	evidence	source_label	source_url	diagram_url	record_path	redistribution_status	trust_tier	safety_note	redesign_candidate	restriction_basis
PVM12	Variable Plasma Driver	plasma	2025 revival	linked_source	patent	Related single-electrode patent figures	Current successor catalog	Amazing1 successor store · 2025	https://taminglightning.net/store/	https://patents.google.com/patent/US4742278A/en	records/pvm12.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PVM400	Large-Format Plasma Driver	plasma	2025 revival	linked_source	patent	Related single-electrode patent figures	Current successor catalog	Amazing1 successor store · 2025	https://taminglightning.net/store/	https://patents.google.com/patent/US5089745A/en	records/pvm400.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
NEONUL	3 kV NeonUL Transformer	plasma	2025 revival	linked_source	patent	Related cold-cathode patent figures	Current successor catalog	Amazing1 successor store · 2025	https://taminglightning.net/store/	https://patents.google.com/patent/US6724154B2/en	records/neonul.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
NEON21	10 kV Neon21 Plasma Driver	plasma	2025 revival	linked_source	patent	Related cold-cathode patent figures	Current successor catalog	Amazing1 successor store · 2025	https://taminglightning.net/store/	https://patents.google.com/patent/US6724154B2/en	records/neon21.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PVM300	PVM300 Plasma Driver	plasma	2000s	linked_source	patent	Related display patent figures	Period catalog advertisement	Period source · 2000s	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf	https://patents.google.com/patent/US5089745A/en	records/pvm300.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PVM500	PVM500 Variable Driver	plasma	2000s	trace_only	trace	Basic schematic filename located; original now missing	Legacy page and surviving file reference	Legacy catalog trail · c. 2012	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf	https://web.archive.org/web/*/http://www.amazing1.com/download/PVM500BASICSCHEMATIC.pdf	records/pvm500.md	link-only-unverified-redistribution	4	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
DPL20	Dancing Plasma Display	plasma	1990	linked_source	patent	Related amusement-device patent figures	Period catalog advertisement	Period source · 1990	https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1990/Radio-Electronics-1990-09.pdf	https://patents.google.com/patent/US5089745A/en	records/dpl20.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
DPL2K	Dancing Plasma Display Kit	plasma	1990	linked_source	patent	Related amusement-device patent figures	Period catalog advertisement	Period source · 1990	https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1990/Radio-Electronics-1990-09.pdf	https://patents.google.com/patent/US5089745A/en	records/dpl2k.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PFS20	Plasma Fire Saber	plasma	1990	linked_source	patent	Related single-ended display patent	Period catalog advertisement	Period source · 1990	https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1990/Radio-Electronics-1990-09.pdf	https://patents.google.com/patent/US4742278A/en	records/pfs20.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PFS2K	Plasma Fire Saber Kit	plasma	1990	linked_source	patent	Related single-ended display patent	Period catalog advertisement	Period source · 1990	https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1990/Radio-Electronics-1990-09.pdf	https://patents.google.com/patent/US4742278A/en	records/pfs2k.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
DNE10	Decor Neon Display	plasma	1990	linked_source	patent	Single-connection neon patent figures	Period catalog advertisement	Period source · 1990	https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1990/Radio-Electronics-1990-09.pdf	https://patents.google.com/patent/US4742278A/en	records/dne10.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
DNE1K	Decor Neon Kit	plasma	1990	linked_source	patent	Single-connection neon patent figures	Period catalog advertisement	Period source · 1990	https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1990/Radio-Electronics-1990-09.pdf	https://patents.google.com/patent/US4742278A/en	records/dne1k.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
STIK	Plasma Stik Lighting	plasma	1990	linked_source	patent	Single-connection neon patent figures	Period catalog advertisement	Period source · 1990	https://www.worldradiohistory.com/Archive-Radio-Electronics/90s/1990/Radio-Electronics-1990-09.pdf	https://patents.google.com/patent/US4742278A/en	records/stik.md	public-record-link	1	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PLASMA1	Universal Plasma Display	plasma	1988	linked_source	article	Period article includes circuit drawings	Authored magazine article	Radio-Electronics · March 1988	https://www.worldradiohistory.com/Archive-Radio-Electronics/80s/1988/Radio-Electronics-1988-03.pdf	https://www.worldradiohistory.com/Archive-Radio-Electronics/80s/1988/Radio-Electronics-1988-03.pdf	records/plasma1.md	link-only-unverified-redistribution	2	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
IOG3	Ion Ray / Force Field Project	high-voltage	1984	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1984	https://www.worldradiohistory.com/Archive-DX/Ham%20Radio/80s/Ham-Radio-198406.pdf		records/iog3.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
PTG1	Plasma Tornado Generator	high-voltage	1986	linked_source	article	Related 1988 plasma-display article	Period catalog advertisement	Period source · 1986	https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-03.pdf	https://www.worldradiohistory.com/Archive-Radio-Electronics/80s/1988/Radio-Electronics-1988-03.pdf	records/ptg1.md	link-only-unverified-redistribution	2	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PTG1K	Plasma Tornado Generator Kit	high-voltage	1989	linked_source	article	Related 1988 plasma-display article	Period catalog advertisement	Period source · 1989	https://www.worldradiohistory.com/Archive-Poptronics/Experimenters-Handbook/Electronic-Hobbyist-Handbook-1989.pdf	https://www.worldradiohistory.com/Archive-Radio-Electronics/80s/1988/Radio-Electronics-1988-03.pdf	records/ptg1k.md	link-only-unverified-redistribution	2	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
PTG10	Plasma Tornado Display	high-voltage	late 1980s	linked_source	article	Period article includes circuit drawings	Period catalog advertisement	Period source · late 1980s	https://www.worldradiohistory.com/Archive-Radio-Electronics/80s/1988/Radio-Electronics-1988-03.pdf	https://www.worldradiohistory.com/Archive-Radio-Electronics/80s/1988/Radio-Electronics-1988-03.pdf	records/ptg10.md	link-only-unverified-redistribution	2	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
NEONX8	NeonX8 Inverter	high-voltage	2000s	trace_only	trace	Instruction filename located; original availability unverified	Period catalog advertisement	Period source · 2000s	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf		records/neonx8.md	link-only-unverified-redistribution	4	High voltage and stored energy can kill; source is archival and not a safe construction procedure.	no	
LC5	Burning / Cutting CO₂ Laser Plans	optics	1986	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1986	https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-03.pdf		records/lc5.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
LC7	CO₂ Laser Plan Revision	optics	1989	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1989	https://www.worldradiohistory.com/Archive-Poptronics/Experimenters-Handbook/Electronic-Hobbyist-Handbook-1989.pdf		records/lc7.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
RUB3	Ruby Laser Project	optics	1986	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1986	https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-03.pdf		records/rub3.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
RUB4	Portable Ruby Laser Project	optics	1989	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1989	https://www.worldradiohistory.com/Archive-Poptronics/Experimenters-Handbook/Electronic-Hobbyist-Handbook-1989.pdf		records/rub4.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
LRG3	Infrared Laser Project	optics	1985	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1985	https://www.worldradiohistory.com/CANADA/Technology-Today/Electronics-Today-1985-10.pdf		records/lrg3.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
COLMIN1	Laser Collimator / Beam Expander	optics	c. 2010	linked_source	worksheet	Archived worksheet locator	Legacy public download reference	Amazing1 public download trail	https://web.archive.org/web/*/http://www.amazing1.com/download/COLMIN1.pdf	https://web.archive.org/web/*/http://www.amazing1.com/download/COLMIN1.pdf	records/colmin1.md	link-only-unverified-redistribution	3	Control optical exposure and never view an energized beam directly.	no	
HUG1	High-Power Ultrasonic Project	acoustic	1982	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1982	https://www.worldradiohistory.com/Archive-Radio-Electronics/Specials/Radio-Electronics-Special-Projects-1982-Summer.pdf		records/hug1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
HT9	High-Frequency Listening Device	acoustic	1984	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1984	https://www.worldradiohistory.com/Archive-DX/Ham%20Radio/80s/Ham-Radio-198406.pdf		records/ht9.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	yes	privacy and consent
PPF1	Phasor Pain Field	acoustic	1984	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1984	https://www.worldradiohistory.com/Archive-DX/Ham%20Radio/80s/Ham-Radio-198406.pdf		records/ppf1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
IPG5	Pocket Pain Field	acoustic	1984	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1984	https://www.worldradiohistory.com/Archive-DX/Ham%20Radio/80s/Ham-Radio-198406.pdf		records/ipg5.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
PSP3	Phasor Shock-Wave Pistol	acoustic	1984	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1984	https://www.worldradiohistory.com/Archive-DX/Ham%20Radio/80s/Ham-Radio-198406.pdf		records/psp3.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
PPP1	Pain Field Pistol Plans	acoustic	2002	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 2002	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf		records/ppp1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
PPP10	Pain Field Pistol	acoustic	2002	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 2002	https://www.worldradiohistory.com/Archive-Poptronics/00s/02/PP-2002-06.pdf		records/ppp10.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
MFT1	Mini Voice Transmitter	surveillance	1984	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1984	https://www.worldradiohistory.com/Archive-DX/Ham%20Radio/80s/Ham-Radio-198406.pdf		records/mft1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	yes	privacy, consent, and radio compliance
MFT1K	Mini Voice Transmitter Kit	surveillance	1986	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1986	https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-03.pdf		records/mft1k.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	yes	privacy, consent, and radio compliance
MFT3K	Three-Mile FM Voice Transmitter	surveillance	1989	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1989	https://www.worldradiohistory.com/Archive-Poptronics/Experimenters-Handbook/Electronic-Hobbyist-Handbook-1989.pdf		records/mft3k.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	yes	privacy, consent, advertised range, and radio compliance
INF1	Infinity Transmitter	surveillance	1984	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1984	https://www.worldradiohistory.com/Archive-DX/Ham%20Radio/80s/Ham-Radio-198406.pdf		records/inf1.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
INF1K	Infinity Transmitter Kit	surveillance	1986	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1986	https://www.worldradiohistory.com/Archive-Modern-Electronics/Modern-Electronics-1986-03.pdf		records/inf1k.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
LIST10	Snooper Phone Transmitter	surveillance	1989	restricted_metadata	restricted	Operational drawing withheld	Period catalog advertisement	Period source · 1989	https://www.worldradiohistory.com/Archive-Poptronics/Experimenters-Handbook/Electronic-Hobbyist-Handbook-1989.pdf		records/list10.md	metadata-only	4	Operational circuit content excluded; preserve identity and provenance only.	no	
